xmin,R^2,RMSE
1,0.949798152638,0.010163392701
2,0.959166209987,0.009166186779
3,0.965137199052,0.008469543350
4,0.969567155014,0.007913163407
5,0.973088748432,0.007441248450
6,0.976000491551,0.007027163048
7,0.978468948926,0.006655971790
8,0.980597325371,0.006318436970
9,0.982454357179,0.006008464494
10,0.984088315431,0.005721856179
11,0.985534503826,0.005455637733
12,0.986819584889,0.005207669343
13,0.987964226327,0.004976406667
14,0.988984797662,0.004760746936
15,0.989894500875,0.004559925440
16,0.990704148681,0.004373442706
17,0.991422715235,0.004201010543
18,0.992057735180,0.004042509405
19,0.992615598836,0.003897952101
20,0.993101774587,0.003767450440
21,0.993520979124,0.003651182546
22,0.993877309677,0.003549359619
23,0.994174348038,0.003462191810
24,0.994415243380,0.003389853915
25,0.994602778870,0.003332452463
26,0.994739425787,0.003289996477
27,0.994827387877,0.003262374499
28,0.994868637998,0.003249340203
29,0.994864948629,0.003250508106
30,0.994817917456,0.003265359638
31,0.994728988957,0.003293258490
32,0.994599472728,0.003333472977
33,0.994430559144,0.003385202518
34,0.994223332793,0.003447605234
35,0.993978784075,0.003519824078
36,0.993697819262,0.003601009641
37,0.993381269261,0.003690338583
38,0.993029897282,0.003787027390
39,0.992644405582,0.003890341664
40,0.992225441408,0.003999601546
41,0.991773602273,0.004114183977
42,0.991289440648,0.004233522568
43,0.990773468147,0.004357105741
44,0.990226159285,0.004484473744
45,0.989647954862,0.004615214980
46,0.989039265016,0.004748962013
47,0.988400472000,0.004885387489
48,0.987731932701,0.005024200147
49,0.987033980959,0.005165141036
50,0.986306929684,0.005307979981
51,0.985551072813,0.005452512355
52,0.984766687133,0.005598556147
53,0.983954033959,0.005745949324
54,0.983113360727,0.005894547479
55,0.982244902468,0.006044221734
56,0.981348883226,0.006194856885
57,0.980425517378,0.006346349757
58,0.979475010923,0.006498607754
59,0.978497562694,0.006651547581
60,0.977493365549,0.006805094112
61,0.976462607513,0.006959179391
62,0.975405472907,0.007113741754
63,0.974322143441,0.007268725049
64,0.973212799313,0.007424077943
65,0.972077620280,0.007579753312
66,0.970916786743,0.007735707696
67,0.969730480830,0.007891900811
68,0.968518887485,0.008048295117
69,0.967282195577,0.008204855428
70,0.966020599023,0.008361548560
71,0.964734297942,0.008518343013
72,0.963423499827,0.008675208689
73,0.962088420766,0.008832116620
74,0.960729286689,0.008989038738
75,0.959346334663,0.009145947644
76,0.957939814244,0.009302816409
77,0.956509988869,0.009459618381
78,0.955057137321,0.009616327000
79,0.953581555248,0.009772915635
80,0.952083556761,0.009929357418
81,0.950563476100,0.010085625086
82,0.949021669389,0.010241690838
83,0.947458516471,0.010397526181
84,0.945874422839,0.010553101793
85,0.944269821667,0.010708387377
86,0.942645175943,0.010863351524
87,0.941000980714,0.011017961573
88,0.939337765448,0.011172183468
89,0.937656096516,0.011325981620
90,0.935956579804,0.011479318759
91,0.934239863457,0.011632155794
92,0.932506640762,0.011784451656
93,0.930757653170,0.011936163156
94,0.928993693471,0.012087244819
95,0.927215609112,0.012237648729
96,0.925424305665,0.012387324365
97,0.923620750454,0.012536218427
98,0.921805976317,0.012684274669
99,0.919981085528,0.012831433715
100,0.918147253849,0.012977632878
101,0.916305734710,0.013122805975
102,0.914457863509,0.013266883135
103,0.912605062009,0.013409790605
104,0.910748842796,0.013551450559
105,0.908890813796,0.013691780900
106,0.907032682778,0.013830695069
107,0.905176261818,0.013968101854
108,0.903323471661,0.014103905204
109,0.901476345898,0.014238004061
110,0.899637034880,0.014370292196
111,0.897807809268,0.014500658066
112,0.895991063078,0.014628984703
113,0.894189316092,0.014755149624
114,0.892405215451,0.014879024784
115,0.890641536220,0.015000476588
116,0.888901180706,0.015119365949
117,0.887187176231,0.015235548431
118,0.885502671062,0.015348874487
119,0.883850928127,0.015459189789
120,0.882235316110,0.015566335710
121,0.880659297457,0.015670149944
122,0.879126412796,0.015770467312
123,0.877640261193,0.015867120784
124,0.876204475639,0.015959942741
125,0.874822693128,0.016048766520
126,0.873498518644,0.016133428275
127,0.872235482399,0.016213769208
128,0.871036989684,0.016289638184
129,0.869906262780,0.016360894795
130,0.868846274534,0.016427412884
131,0.867859673438,0.016489084551
132,0.866948700402,0.016545824654
133,0.866115097962,0.016597575759
134,0.865360013300,0.016644313494
135,0.864683897475,0.016686052177
136,0.864086404416,0.016722850529
137,0.863566294800,0.016754817199
138,0.863121351767,0.016782115699
139,0.862748317571,0.016804968217
140,0.862442862542,0.016823657639
141,0.862199599886,0.016838526951
142,0.862012161318,0.016849975092
143,0.861873348415,0.016858448324
144,0.861775371506,0.016864426337
145,0.861710180022,0.016868402790
146,0.861669873534,0.016870860876
147,0.861647159921,0.016872245905
148,0.861635798230,0.016872938674
149,0.861630936791,0.016873235088
150,0.861629249752,0.016873337949
151,0.861628810993,0.016873364701
152,0.861628735251,0.016873369319
153,0.861628728109,0.016873369755
154,0.861628727846,0.016873369771
155,0.861628727844,0.016873369771
156,0.861628727844,0.016873369771
157,0.861628727844,0.016873369771
158,nan,nan
