Site,Average mass,Density
"Shucheng, Anhui province",3122.33333333333,3.0000
"Shucheng, Anhui province",4166.93333333333,3.7500
"Shucheng, Anhui province",2267.11111111111,4.5000
"Shucheng, Anhui province",2306.28571428571,5.2500
"Junyun Mountain, Sichuan province",2228.69763465375,7.0180
"Dagang Mountain, Jiangxi province",21872.30989956960,0.2788
"Dagang Mountain, Jiangxi province",22125.64102564100,0.3900
"Dagang Mountain, Jiangxi province",21903.19031903190,0.4545
"Baishui, Gansu province",2500.46153846153,6.5000
"Japan, Nagano Perfecture",4.01028277633,389.0000
"Japan, Nagano Perfecture",12.30769230768,260.0000
"Japan, Nagano Perfecture",12.91666666665,216.0000
"Japan, Nagano Perfecture",84.36363636361,27.5000
